Time	u1	y1
17600	0.0035	14.4967613194066
17700	0.0035	14.4969091081396
17800	0.0035	14.497050158522
17900	0.0035	14.4971847777851
18000	0.0035	14.4973132591527
18100	0.0035	14.497435882479
18200	0.0035	14.4975529148582
18300	0.0035	14.4976646112068
18400	0.0035	14.4977712148183
18500	0.0035	14.4978729578934
18600	0.0035	14.4979700620458
18700	0.0035	14.4980627387848
18800	0.0035	14.498151189976
18900	0.0035	14.4982356082811
19000	0.0035	14.4983161775774
19100	0.0035	14.4983930733585
19200	0.0035	14.4984664631165
19300	0.0035	14.4985365067066
19400	0.0035	14.4986033566956
19500	0.0035	14.4986671586942
19600	0.0035	14.4987280516739
19700	0.0035	14.4987861682699
19800	0.0035	14.4988416350699
19900	0.0035	14.4988945728901
20000	0.0035	14.498945097038
